time_seconds,queue_size
1.5878927,0
2.5884356,452662
3.5891222000000003,451739
4.5908613,450600
5.5913174,449427
6.592033,448223
7.5924547,447006
8.5930071,445670
9.593952,444288
10.5943121,443128
11.5951716,441682
12.5953992,440300
13.5955694,438956
14.5957653,437570
15.5962721,436185
16.5973495,434800
17.5978185,433367
18.5990034,431947
19.600049,430501
20.6004614,429084
21.6009559,427692
22.6015218,426424
23.6019312,425021
24.6023204,423617
25.6025387,422217
26.6027584,420866
27.6032579,419511
28.6033406,418086
29.6039974,416672
30.6045562,415242
31.6052091,413803
32.60534,412357
33.6056205,410896
34.6059974,409440
35.6068644,407970
36.6075234,406464
37.6079906,404985
38.6081563,403504
39.6086934,402030
40.6090506,400553
41.6094304,399114
42.6095204,397635
43.6096811,396165
44.6101595,394714
45.610489,393240
46.6107259,391819
47.6110238,390369
48.6115439,388879
49.6116307,387385
50.6118257,385921
51.6129094,384435
52.6134376,382954
53.6139397,381471
54.6144414,379996
55.616002,378518
56.6163064,377045
57.6164898,375586
58.6172187,374140
59.6173012,372758
60.6175247,371296
61.6175847,369819
62.6177905,368341
63.6181492,366872
64.6182795,365417
65.6185351,363950
66.6191272,362469
67.6192341,360962
68.6196422,359483
69.6201775,357995
70.6210979,356490
71.621222,354991
72.6213323,353480
73.6217491,351976
74.6218497,350500
75.6223555,348993
76.6225961,347468
77.6232135,345970
78.6233037,344455
79.6234647,342938
80.6235909,341433
81.6236941,339922
82.6240409,338408
83.6244192,336899
84.6249691,335387
85.6253742,333903
86.6259844,332407
87.6264857,330946
88.6267358,329495
89.6270025,328017
90.6275155,326527
91.6281091,325053
92.6283172,323575
93.6286985,322105
94.6292734,320697
95.6297622,319255
96.6301433,317809
97.6312737,316391
98.6315366,314939
99.6322068,313501
100.6332678,312084
101.6335541,310626
102.6336056,309158
103.6337196,307650
104.6341969,306192
105.6348234,304673
106.6351249,303182
107.6355354,301682
108.6361273,300204
109.6365308,298742
110.6367157,297238
111.6368977,295775
112.6372235,294287
113.6373674,292825
114.6374571,291344
115.6380638,289859
116.6384284,288379
117.6388288,286892
118.6394824,285447
119.6404153,283937
120.6409078,282464
121.6411282,280954
122.6412172,279545
123.6419163,278075
124.6425566,276608
125.6430624,275121
126.6434943,273680
127.6436162,272220
128.6441744,270706
129.644605,269214
130.6451316,267720
131.6456767,266259
132.6457379,264797
133.6463194,263310
134.6465202,261833
135.6470671,260344
136.6472088,258884
137.6472956,257410
138.6477543,255920
139.6480494,254453
140.6487571,253018
141.6490728,251550
142.6494456,250081
143.6496245,248624
144.6499725,247154
145.6501563,245710
146.6505143,244283
147.6508905,242837
148.6511793,241323
149.65130920000001,239837
150.652007,238357
151.6529212,236892
152.6534091,235396
153.6537071,233901
154.6540434,232418
155.6544826,230926
156.6547703,229445
157.6549066,227918
158.6552051,226424
159.6557703,224897
160.6558209,223427
161.6563248,221932
162.6570053,220457
163.6571057,218944
164.6583049,217445
165.6584874,215968
166.6588731,214472
167.6594477,212973
168.6598605,211464
169.6604446,209984
170.6605668,208450
171.6612614,206942
172.6619377,205529
173.6622361,204039
174.662386,202513
175.6630089,201025
176.6635368,199595
177.6638352,198111
178.664002,196633
179.6644321,195179
180.6646575,193694
181.665438,192192
182.6656283,190730
183.6661351,189244
184.6664792,187783
185.6668596,186299
186.6671369,184821
187.6678204,183309
188.6684911,181843
189.6693401,180360
190.669536,178883
191.669991,177412
192.6701832,175925
193.6703922,174909
194.6705552,173664
195.6711186,172604
196.6712528,171280
197.671709,169908
198.671961,168637
199.6721632,167346
200.6727089,166051
201.6728227,164705
202.6733344,163272
203.6736614,161863
204.6742829,160459
205.6748327,159072
206.6772001,157687
207.6777648,156359
208.6782861,154855
209.6783832,153401
210.6786911,151923
211.6790295,150495
212.6794908,149129
213.6799666,147719
214.6810947,146234
215.6816212,144729
216.6818829,143259
217.6826834,141771
218.6830731,140278
219.6831603,138830
220.6834628,137398
221.6853326,135955
222.6861709,134610
223.6865044,133275
224.6980306,131974
225.6986028,130589
226.6992218,129322
227.6999343,128206
228.7002439,127007
229.7005551,125568
230.7007979,124137
231.700947,122736
232.7015693,121361
233.7018812,119918
234.7019388,118527
235.7021776,117198
236.7035914,115791
237.7037223,114412
238.7041204,113056
239.7042442,111690
240.7046491,110257
241.7053434,108850
242.7057083,107482
243.7060017,106069
244.7062935,104673
245.7064241,103297
246.7065924,101870
247.7072013,100459
248.7074598,99043
249.7076834,97634
250.7082215,96256
251.7093508,94844
252.7102345,93431
253.7108416,92032
254.7110865,90672
255.7117639,89301
256.7123838,87950
257.7129786,86565
258.7131581,85242
259.7137556,83979
