time_seconds,queue_size
1.194942,5189
2.1990866000000002,410587
3.2040952,408820
4.2042691,406855
5.2068892,404371
6.2115683,401808
7.2135985,399003
8.2193638,396094
9.2200169,392969
10.221175,389067
11.2263906,383962
12.2315316,379454
13.2320839,374187
14.2330124,368629
15.2342771,363359
16.2346298,357740
17.2352597,351122
18.2353513,344782
19.2387855,338252
20.2420379,331779
21.2421048,324249
22.2438038,316690
23.2489476,310628
24.2503939,302805
25.253257,295181
26.2546562,288440
27.2563262,280651
28.2571023,273588
29.2586352,265245
30.2642529,257179
31.2693521,249899
32.2694236,241376
33.2733972,231930
34.2754317,223379
35.2777039,214992
36.2828198,206998
37.285912,198686
38.2901071,190075
39.2901669,180341
40.2924418,170229
41.2980653,160806
42.3015793,152388
43.3019071,142889
44.3075295,133388
45.3096485,124406
46.3114693,115773
47.3167744,106153
48.3180861,94890
49.3244822,83762
50.3276547,73618
51.3279718,63596
52.3305843,52870
53.3312045,45021
54.3349639,35485
55.3355283,25242
56.3358717,15259
57.3360084,4284
