time_seconds,queue_size
1.2759336000000001,396384
2.2800297,395135
3.2844047,393667
4.2880257,392027
5.2912447,390109
6.2960915,387342
7.2976462,385010
8.3039884,383017
9.304288,380669
10.304801,378456
11.3060071,376245
12.3064871,374214
13.3072687,371929
14.3106562,364594
15.3144966,354932
16.318978,345236
17.321978,332748
18.323887,320435
19.3294491,312154
20.3344846,303361
21.3392336,294895
22.3415585,286744
23.3457899,277942
24.3465318,270055
25.3478673,259308
26.3486915,249644
27.3534791,240239
28.358833,228996
29.3616922,217809
30.363523700000002,206257
31.366049,192675
32.3681259,169723
33.368341,155424
34.3693822,141780
35.3741869,127626
36.3791825,115793
37.3841974,96778
38.3899817,72176
39.3902053,53235
40.3914164,38670
41.3962924,24050
